Code,Occasion_financement
889,Congé parental - Partenariats (CPP)
890,Subventions de développement de partenariat (Savoir)
892,Subventions d'engagement partenarial
895,Subventions de partenariat (Savoir)
896,Subventions de partenariat -  Santé et productivité au travail IRSC
900,Réseaux de centres d'excellence
902,Le réseau de liaison et d'application de l'information sur la santé (RELAIS)
903,Réseau de centres d'excellence sur la gestion durable des forêts (GDF)
904,Réseau de centres d'excellence en télé-apprentissage (RCE-TA)
905,Le réseau canadien de l'arthrite (RCA)
906,Le réseau de géomatique pour des interventions et décisions éclairées (GEOIDE)
907,Réseau canadien contre les accidents cérébrovasculaires (RCCACV)
908,AquaNet - Réseau en aquaculture
909,Réseau de l'automobile du XXIe siècle (AUTO21)
910,Réseau canadien de recherche sur le langage et l'alphabétisation - RCRLA
911,Réseau canadien de l'eau (RCE)
912,Réseau de cellules souches (RCS)
913,Réseau des aliments et des matériaux d'avant-garde (AFMNet)
914,ArcticNet
915,PrioNet Canada
916,Réseau canadien de recherche en design (RCRD)
917,La promotion des relations et l'élimination de la violence - PREVNet
918,L'Initiative nationale pour le soin des personnes âgées (INSPA)
919,Réseau canadien en obésité (RCO)
923,Réseau des économies mondiales dynamiques et émergentes (EDGE)
924,Mobilisation des connaissances (MC-RCE)
928,Centres d'excellence en commercialisation et en recherche (CECR)
929,Réseaux de centres d'excellence dirigés par l'entreprise (RCE-E)
931,Gestion du carbone Canada (CMC)
932,NeuroDevNet
933,"Graphisme, animation et nouveaux médias Canada (GRAND)"
936,"Initiative sur la race, le genre et la diversité"
940,Fonds Nouvelles frontières en recherche
941,Fonds nouvelles frontières en recherche - Intervention rapide
942,Fonds Nouvelles frontières en recherche - Grandes plateformes mondiales
943,Fonds Nouvelles frontières en recherche - Transformation
950,Chaires de recherche du Canada
951,Le Programme des chaires d?excellence en recherche du Canada
952,Chaires de recherche Canada 150
953,Chaires de recherche du Canada - Allocation EDI
970,Programme d'innovation dans les collèges et la communauté
971,Subventions de chaires de recherche industrielle dans les collèges (CRIC)
972,Carrefour des idées - Imaginer l'avenir du Canada
990,Fonds d'excellence en recherche Apogée Canada 
